Priority Inbox - Top 10 Notifications
GeneratedAt: 2026-05-02T01:26:43.167Z
SourceCount: 20
ReturnedTopN: 10

Rank | ID                                   | Type      | Timestamp           | Score           | Message
-----|--------------------------------------|-----------|---------------------|-----------------|--------
1    | bb8f5260-760b-4ce3-a636-685ce4c45af5 | Placement | 2026-05-02 05:24:51 | 31777679691000  | Amazon.com Inc. hiring
2    | f3fa9e48-7a81-4ada-bbef-a91858f3fd26 | Placement | 2026-05-02 04:55:27 | 31777677927000  | Marriott International Inc. hiring
3    | fa109787-05dd-4b4c-8418-4538d9efbdb8 | Placement | 2026-05-02 02:26:09 | 31777668969000  | Amgen Inc. hiring
4    | 52178424-2b27-4c59-8301-9ee668692f60 | Placement | 2026-05-01 18:54:45 | 31777641885000  | Marriott International Inc. hiring
5    | 3b815fca-5fbe-41d8-ad24-fe45d45b571b | Placement | 2026-05-01 14:54:57 | 31777627497000  | Apple Inc. hiring
6    | 1be1eb9f-87ee-4fdd-9eed-f889db96cc02 | Placement | 2026-05-01 14:25:03 | 31777625703000  | Microsoft Corporation hiring
7    | 01df4c8c-a7bb-4e38-8880-933a56128d94 | Placement | 2026-05-01 08:26:15 | 31777604175000  | Apple Inc. hiring
8    | 7b60e527-8a1f-47db-951d-52752d64b7bf | Placement | 2026-05-01 06:56:03 | 31777598763000  | Berkshire Hathaway Inc. hiring
9    | b6eb9666-c220-47ab-be41-f76cd3ab052b | Result    | 2026-05-01 23:25:57 | 21777658157000  | external
10   | 4f5cf07d-163e-49de-939a-c4f3fe16c743 | Result    | 2026-05-01 20:25:33 | 21777647333000  | internal
